Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Weather,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
90,45,Urban,Silver,13,4.47,Evening,Premium,90,284.257273,Rainy,-73.99981689,40.73835373,-73.99951172,40.72321701
58,39,Suburban,Silver,72,4.06,Afternoon,Economy,43,173.8747527,Cloudy,-73.994355,40.728225,-73.99471,40.750325
42,31,Rural,Silver,0,3.99,Night,Premium,76,329.795469,Rainy,-74.005043,40.74077,-73.962565,40.772647
89,28,Rural,Regular,67,4.31,Night,Premium,134,470.2012318,Cloudy,-73.976124,40.790844,-73.965316,40.803349
78,22,Rural,Regular,74,3.77,Night,Economy,149,579.6814224,Sunny,-73.925023,40.744085,-73.973082,40.761247
59,35,Urban,Silver,83,3.51,Evening,Economy,128,339.9553606,Rainy,-73.969019,40.75591,-73.969019,40.75591
93,43,Suburban,Regular,44,4.41,Night,Premium,16,104.0615413,Cloudy,-73.961447,40.693965,-73.871195,40.774297
62,39,Rural,Gold,83,3.59,Night,Premium,47,235.8118636,Cloudy,0,0,0,0
79,14,Rural,Silver,71,3.74,Afternoon,Economy,128,501.4125175,Sunny,-73.975187,40.745767,-74.00272,40.743537
42,6,Rural,Silver,21,3.85,Evening,Premium,128,398.9933646,Sunny,-74.001065,40.741787,-73.96304,40.775012
86,17,Urban,Regular,99,4.69,Night,Economy,167,669.2986265,Cloudy,-73.97438812,40.74695206,-73.98858643,40.72980499
60,38,Rural,Gold,15,4.14,Afternoon,Premium,144,414.9901047,Cloudy,0,0,0,0
24,8,Rural,Gold,50,4.12,Night,Economy,164,490.4107217,Cloudy,-73.966378,40.80444,-73.96589,40.807133
36,24,Suburban,Silver,88,4.22,Evening,Premium,83,296.242876,Cloudy,-73.953352,40.767382,-73.97251,40.796137
63,13,Rural,Regular,74,4.95,Night,Premium,102,327.0888649,Rainy,-73.97337,40.755193,-73.978265,40.766375
39,12,Urban,Silver,30,4.51,Night,Premium,140,445.1368684,Rainy,-73.990718,40.75192,-73.973053,40.74423
38,28,Rural,Silver,35,3.93,Night,Premium,54,244.5361718,Rainy,-73.988908,40.756982,-73.981246,40.76005
46,14,Suburban,Silver,21,4.71,Night,Economy,15,47.31430863,Sunny,-74.005665,40.741138,-73.97783,40.749338
33,7,Suburban,Gold,49,4.31,Afternoon,Premium,22,129.8082629,Cloudy,-73.96253204,40.76718903,-73.97445679,40.75386047
31,7,Suburban,Silver,24,4.82,Afternoon,Premium,87,382.9481103,Sunny,-73.992075,40.719633,-73.985323,40.727405
96,45,Urban,Regular,6,4.95,Night,Premium,11,82.77279318,Rainy,-73.980022,40.74599,-74.003432,40.759667
22,11,Suburban,Silver,79,4.48,Evening,Economy,15,64.07117256,Sunny,-73.98918915,40.72914124,-73.9872818,40.72063446
74,16,Rural,Regular,6,3.97,Night,Economy,139,390.6687658,Cloudy,-74.010798,40.726085,-74.009767,40.737402
24,12,Urban,Regular,10,3.6,Afternoon,Premium,45,212.166525,Sunny,-73.9943,40.739512,-73.98807,40.724482
48,19,Suburban,Gold,72,3.81,Evening,Premium,65,235.6581337,Cloudy,-73.972987,40.76404,-74.00782,40.714993
56,13,Rural,Regular,36,4.81,Afternoon,Economy,162,406.5574981,Cloudy,-73.986059,40.757159,-73.97613,40.780589
72,33,Rural,Gold,66,4.39,Night,Premium,30,182.4744271,Sunny,-73.957802,40.776372,-73.957422,40.78287
97,75,Urban,Silver,76,4.7,Evening,Economy,158,652.6172973,Rainy,-73.993909,40.741551,-73.987874,40.770232
62,33,Suburban,Regular,39,3.91,Afternoon,Premium,129,403.2270984,Rainy,-73.97778,40.763656,-73.989486,40.772966
57,38,Suburban,Silver,54,4.1,Evening,Premium,131,537.7848595,Rainy,-73.971075,40.787833,-73.944957,40.784302
25,7,Suburban,Silver,13,3.99,Night,Premium,81,286.1314526,Sunny,-73.944815,40.834367,-73.989332,40.72192
75,56,Suburban,Gold,94,4.79,Afternoon,Premium,153,485.0546633,Cloudy,-74.004184,40.712975,-73.988385,40.725102
39,9,Urban,Gold,39,4.64,Night,Premium,48,171.0859835,Cloudy,-73.982085,40.771387,-73.95961,40.769445
35,24,Suburban,Gold,73,3.76,Afternoon,Premium,105,485.8784537,Rainy,-73.991186,40.741393,-74.00971,40.716455
68,32,Suburban,Regular,34,3.58,Night,Economy,77,294.7328865,Rainy,-73.78808,40.642187,-73.865042,40.725997
96,43,Rural,Silver,97,3.68,Night,Premium,91,392.8387204,Cloudy,-73.98869,40.751273,-73.95881,40.764643
28,11,Suburban,Gold,52,4.33,Night,Premium,94,456.1809468,Sunny,-74.010863,40.710813,-74.001205,40.718745
25,15,Rural,Gold,65,4.88,Afternoon,Premium,101,502.5293208,Rainy,-73.968697,40.754998,-73.987302,40.73594
28,6,Suburban,Regular,2,4.29,Night,Economy,89,244.2176617,Cloudy,-73.96837,40.759005,-73.979105,40.77757
73,17,Rural,Regular,14,4.81,Afternoon,Premium,170,634.7265312,Sunny,-73.9926,40.753172,-73.908508,40.816192
36,18,Urban,Silver,88,3.73,Evening,Premium,92,345.4067683,Sunny,-73.97336,40.786952,-73.97281,40.743548
56,10,Urban,Silver,55,4.5,Evening,Economy,45,151.1521296,Cloudy,-73.970164,40.765016,-73.962801,40.77478
97,81,Suburban,Regular,52,4.56,Afternoon,Economy,125,530.7599939,Cloudy,-73.987139,40.753038,-73.977794,40.751834
63,9,Rural,Regular,89,3.87,Night,Premium,166,482.8501642,Cloudy,-73.994222,40.751229,-73.998331,40.744342
78,33,Urban,Silver,35,4.46,Night,Premium,116,355.9595075,Cloudy,-73.982371,40.765501,-73.985248,40.762808
29,10,Suburban,Regular,25,3.77,Night,Economy,91,303.9609626,Sunny,-73.977137,40.779272,-73.970457,40.757972
73,33,Suburban,Silver,60,3.88,Evening,Premium,161,514.8771742,Rainy,-73.9939,40.751714,-73.958575,40.76039
94,29,Urban,Regular,67,3.59,Afternoon,Premium,96,361.132355,Sunny,-73.97952271,40.72731018,-73.98487854,40.76065063
54,28,Suburban,Silver,83,4.49,Evening,Economy,32,80.26246462,Cloudy,-73.993498,40.764686,-73.993498,40.764686
67,6,Rural,Gold,15,3.53,Evening,Economy,123,420.6239113,Cloudy,-73.962043,40.805372,-73.988447,40.77014
23,8,Urban,Silver,27,4.73,Night,Economy,117,520.8926706,Rainy,-73.983052,40.776055,-73.974093,40.763797
70,14,Urban,Silver,16,4.3,Night,Economy,53,183.075791,Sunny,-73.9859,40.7277,-73.9825,40.7719
20,10,Rural,Silver,70,4.92,Afternoon,Economy,65,190.1374636,Sunny,-73.997385,40.720822,-73.955628,40.782252
95,84,Suburban,Gold,18,3.86,Night,Premium,112,522.3021029,Rainy,-73.937809,40.850558,-73.944454,40.834959
43,16,Urban,Silver,40,4.89,Evening,Premium,106,410.6863449,Rainy,-73.986593,40.759143,-74.001767,40.72012
97,55,Suburban,Silver,94,4.62,Afternoon,Premium,150,584.9958711,Cloudy,-73.958903,40.815239,-73.980862,40.78261
32,20,Rural,Silver,44,3.55,Evening,Economy,68,301.6226264,Sunny,-73.990305,40.756175,-74.003678,40.759173
95,25,Suburban,Regular,72,4.16,Night,Premium,128,413.587084,Sunny,-73.968111,40.765625,-73.980863,40.75916
47,15,Urban,Gold,14,4.84,Evening,Economy,89,273.1181046,Cloudy,-73.98973,40.734507,-74.001847,40.740387
25,11,Rural,Silver,33,3.85,Evening,Economy,94,247.1745627,Rainy,-73.954332,40.77406,-73.952558,40.766325
37,22,Rural,Regular,76,4.72,Night,Economy,69,213.4432508,Sunny,-73.97213745,40.74988937,-73.9818573,40.73242569
59,39,Suburban,Gold,49,3.78,Night,Premium,98,295.7943802,Rainy,-73.975307,40.757499,-74.010737,40.711715
42,20,Urban,Silver,88,4.64,Evening,Premium,29,145.0698092,Sunny,-73.997925,40.749805,-74.003443,40.754337
53,11,Rural,Regular,2,3.5,Night,Premium,81,297.0186264,Sunny,-73.977453,40.785215,-73.98595,40.734955
79,64,Rural,Regular,91,4.57,Evening,Economy,164,666.6870291,Rainy,-73.993619,40.749808,-73.992512,40.756546
59,23,Urban,Gold,41,4.97,Afternoon,Premium,91,449.5456339,Sunny,0,0,0,0
40,29,Urban,Regular,72,4.3,Night,Economy,147,624.98601,Cloudy,-73.968242,40.762112,-73.979687,40.765432
76,40,Suburban,Silver,77,4.17,Night,Economy,28,96.03520852,Rainy,-73.989945,40.73399,-73.95831,40.780797
41,26,Urban,Regular,96,3.91,Evening,Economy,169,637.7593916,Sunny,-73.99765015,40.73622131,-73.98181152,40.76134872
83,14,Urban,Regular,80,4.77,Evening,Premium,64,295.588711,Rainy,-73.997933,40.756223,-73.981529,40.742386
44,17,Rural,Regular,15,4,Afternoon,Economy,98,353.3385451,Cloudy,-73.949458,40.773348,-73.964993,40.76659
91,73,Urban,Gold,61,4.39,Evening,Economy,15,62.25429042,Sunny,-73.95431519,40.76970291,-73.99013519,40.75743866
